Date,Price (Close),Volume,Bitcoin Price (Close),Ethereum (Google Interest),NFT (Google Interest),Obs
7-Feb-21,1614.23,39889440151,38903.44,50,2,312
8-Feb-21,1746.62,48012285956,46196.46,50,2,313
9-Feb-21,1768.04,44180727529,46481.11,50,2,314
10-Feb-21,1744.24,41916084617,44918.18,50,2,315
11-Feb-21,1783.8,36021495262,47909.33,50,2,316
12-Feb-21,1843.53,37905036865,47504.85,50,2,317
13-Feb-21,1814.11,35359490535,47105.52,50,2,318
14-Feb-21,1805.08,31439114900,48717.29,50,5,319
15-Feb-21,1779.79,38955610883,47945.06,50,5,320
16-Feb-21,1781.07,34269369268,49199.87,50,5,321
17-Feb-21,1848.46,35955412703,52149.01,50,5,322
18-Feb-21,1937.45,28255902969,51679.8,50,5,323
19-Feb-21,1960.16,26268814253,55888.13,50,5,324
20-Feb-21,1919.53,34696091102,56099.52,50,5,325
21-Feb-21,1935.6,23626547717,57539.95,45,12,326
22-Feb-21,1781.99,42409646036,54207.32,45,12,327
23-Feb-21,1570.2,52029864713,48824.43,45,12,328
24-Feb-21,1626.58,31329000537,49705.33,45,12,329
25-Feb-21,1475.7,24481681873,47093.85,45,12,330
26-Feb-21,1446.03,31435997881,46339.76,45,12,331
27-Feb-21,1459.97,20742103233,46188.45,45,12,332
28-Feb-21,1416.05,27637026080,45137.77,30,21,333
1-Mar-21,1564.71,24032838645,49631.24,30,21,334
2-Mar-21,1492.61,22523669722,48378.99,30,21,335
3-Mar-21,1575.85,22674780680,50538.24,30,21,336
4-Mar-21,1541.91,22906118718,48561.17,30,21,337
5-Mar-21,1533.28,21067146937,48927.3,30,21,338
6-Mar-21,1654.74,22746262366,48912.38,30,21,339
7-Mar-21,1723.15,23809935410,51206.69,35,41,340
8-Mar-21,1834.73,27630991158,52246.52,35,41,341
9-Mar-21,1868.05,23461244507,54824.12,35,41,342
10-Mar-21,1799.17,25154173185,56008.55,35,41,343
11-Mar-21,1826.19,24013132909,57805.12,35,41,344
12-Mar-21,1772.1,22435821312,57332.09,35,41,345
13-Mar-21,1924.69,25014689475,61243.09,35,41,346
14-Mar-21,1854.56,19344589211,59302.32,30,39,347
15-Mar-21,1791.7,26244738810,55907.2,30,39,348
16-Mar-21,1806.97,23828509590,56804.9,30,39,349
17-Mar-21,1823.45,24512917348,58870.89,30,39,350
18-Mar-21,1782.86,23263845504,57858.92,30,39,351
19-Mar-21,1817.62,21249297710,58346.65,30,39,352
20-Mar-21,1812.63,22677674970,58313.64,30,39,353
21-Mar-21,1788.22,22977404620,57523.42,25,40,354
22-Mar-21,1691.33,23599296129,54529.14,25,40,355
23-Mar-21,1678.65,21998237965,54738.95,25,40,356
24-Mar-21,1593.41,31228051473,52774.27,25,40,357
25-Mar-21,1595.36,29650328701,51704.16,25,40,358
26-Mar-21,1702.84,22548516548,55137.31,25,40,359
27-Mar-21,1716.49,18102277710,55973.51,25,40,360
28-Mar-21,1691.36,16599472938,55950.75,32,38,361
29-Mar-21,1819.68,22796570548,57750.2,32,38,362
30-Mar-21,1846.03,22512781703,58917.69,32,38,363
31-Mar-21,1918.36,30226902621,58918.83,32,38,364
1-Apr-21,1977.28,30914259795,59095.81,32,38,365
2-Apr-21,2143.23,34862511022,59384.31,32,38,366
3-Apr-21,2028.42,32011518871,57603.89,32,38,367
4-Apr-21,2093.12,26006501902,58758.55,33,25,368
5-Apr-21,2107.89,28889391170,59057.88,33,25,369
6-Apr-21,2118.38,29222865881,58192.36,33,25,370
7-Apr-21,1971.08,36116271935,56048.94,33,25,371
8-Apr-21,2088.57,25312956529,58323.95,33,25,372
9-Apr-21,2072.11,19812472092,58245,33,25,373
10-Apr-21,2135.94,24986243611,59793.23,33,25,374
11-Apr-21,2157.66,19692836132,60204.96,46,26,375
12-Apr-21,2139.35,21727936609,59893.45,46,26,376
13-Apr-21,2299.19,29456642939,63503.46,46,26,377
14-Apr-21,2435.1,35592822986,63109.7,46,26,378
15-Apr-21,2519.12,32325606817,63314.01,46,26,379
16-Apr-21,2431.95,36196928256,61572.79,46,26,380
17-Apr-21,2344.9,32349808978,60683.82,46,26,381
18-Apr-21,2237.14,50696368718,56216.18,47,18,382
19-Apr-21,2166.19,34060654971,55724.27,47,18,383
20-Apr-21,2330.21,39433483315,56473.03,47,18,384
21-Apr-21,2364.75,38899067643,53906.09,47,18,385
22-Apr-21,2403.54,53575904724,51762.27,47,18,386
23-Apr-21,2363.59,55413933925,51093.65,47,18,387
24-Apr-21,2211.63,31854226936,50050.87,47,18,388
25-Apr-21,2316.06,31814355546,49004.25,48,32,389
26-Apr-21,2534.48,35208325408,54021.75,48,32,390
27-Apr-21,2662.87,32275969215,55033.12,48,32,391
28-Apr-21,2746.38,34269031076,54824.7,48,32,392
29-Apr-21,2756.88,32578127990,53555.11,48,32,393
30-Apr-21,2773.21,29777179889,57750.18,48,32,394
1-May-21,2945.89,28726205272,57828.05,48,32,395
2-May-21,2952.06,28032013047,56631.08,93,18,396
3-May-21,3431.09,49174290212,57200.29,93,18,397
4-May-21,3253.63,62402045158,53333.54,93,18,398
5-May-21,3522.78,48334198383,57424.01,93,18,399
6-May-21,3490.88,44300394788,56396.52,93,18,400
7-May-21,3484.73,39607240515,57356.4,93,18,401
8-May-21,3902.65,50208491286,58803.78,93,18,402
9-May-21,3928.84,50568290278,58232.32,100,15,403
10-May-21,3952.29,62691789007,55859.8,100,15,404
11-May-21,4168.7,52679737865,56704.57,100,15,405
12-May-21,3785.85,69023382175,49150.54,100,15,406
13-May-21,3715.15,78398214539,49716.19,100,15,407
14-May-21,4079.06,48174271215,49880.54,100,15,408
15-May-21,3638.12,42422321751,46760.19,100,15,409
16-May-21,3587.51,47359478734,46456.06,84,14,410
17-May-21,3282.4,54061732774,43537.51,84,14,411
18-May-21,3380.07,40416525218,42909.4,84,14,412
19-May-21,2460.68,84482912776,37002.44,84,14,413
20-May-21,2784.29,67610826680,40782.74,84,14,414
21-May-21,2430.62,53774070802,37304.69,84,14,415
22-May-21,2295.71,42089937660,37536.63,84,14,416
23-May-21,2109.58,56005721977,34770.58,66,16,417
24-May-21,2643.59,53697121740,38705.98,66,16,418
25-May-21,2706.63,49558333256,38402.22,66,16,419
